clone,clone_type,juju,copper,rep,induction_1,induction_1_pedestal,induction_1_nteeth,induction_2,induction_2_pedestal,induction_2_nteeth,induction_3,induction_3_pedestal,induction_3_nteeth,induction_4,induction_4_pedestal,induction_4_nteeth,induction_5,induction_5_pedestal,induction_5_nteeth,max_induction_total_I1,max_induction_total_I2,max_induction_pedestal_I1,max_induction_pedestal_I2,max_induction_nteeth_I1,max_induction_nteeth_I2,size_1,size_2,size_3,size_4,size_5,size_maturity,age_maturity,survival_time,alive_dead,somaticGrowth_maturity,somaticGrowth_3d,somaticGrowth_4d
D86A,low,0.50,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936,1.129,1.162,1.378,1.456,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,10,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.783,NA,NA,NA,NA,1.733,7,7,0,0.113496656,NA,NA
D86A,low,0.00,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.959,1.218,1.421,1.576,1.623,9,9,0,0.075994165,0.044,0.061
D86A,low,0.00,25,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.762,0.996,1.125,1.371,1.499,NA,NA,6,1,NA,NA,NA
D86A,low,0.00,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0.973,1.184,1.393,1.521,NA,NA,6,1,NA,NA,NA
D86A,low,0.00,25,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.819,0.964,1.232,1.395,1.534,NA,NA,6,1,NA,NA,NA
D86A,low,0.00,25,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.728,NA,NA,NA,NA,1.633,11,11,0,0.073443004,NA,NA
D86A,low,0.00,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.760,NA,NA,NA,NA,1.588,10,10,0,0.073691221,NA,NA
D86A,low,0.00,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,NA,NA,NA,NA,1.558,10,10,0,0.073108502,NA,NA
D86A,low,0.00,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758,NA,NA,NA,NA,1.614,10,10,0,0.075578746,NA,NA
D86A,low,0.10,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767,NA,NA,NA,NA,1.493,10,10,0,0.0666056,NA,NA
D86A,low,0.10,25,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.754,NA,NA,NA,NA,1.598,10,10,0,0.075111576,NA,NA
D86A,low,0.25,25,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.721,0.780,0.979,1.144,1.438,NA,NA,6,1,NA,NA,NA
D86A,low,0.25,25,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.716,0.756,0.890,0.892,1.152,NA,NA,6,1,NA,NA,NA
D86A,low,0.25,25,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.721,0.836,1.072,1.295,1.686,1.894,7,7,0,0.137972448,0.057,0.084
D86A,low,0.25,25,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.702,0.721,0.772,0.827,1.019,NA,NA,6,1,NA,NA,NA
D86A,low,0.25,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719,0.771,NA,NA,NA,1.519,11,11,0,0.067995104,NA,NA
D86A,low,0.25,25,6,50,30,20,10,0,10,0,0,0,0,0,0,0,0,0,50,10,30,0,20,10,0.662,0.821,NA,NA,NA,1.686,7,7,0,0.133549798,NA,NA
D86A,low,0.50,25,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0.730,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
D86A,low,0.50,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844,0.853,1.102,1.406,1.624,1.772,7,7,0,0.105958805,0.038,0.073
D86A,low,0.50,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0.824,0.991,1.008,1.346,NA,NA,6,1,NA,NA,NA
D86A,low,0.50,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902,0.916,1.162,1.514,1.697,1.985,7,7,0,0.112679953,0.036,0.074
C14,high,0.00,0,1,70,30,40,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,40,0,0.784,0.920,1.179,1.196,1.470,2.163,6,6,0,0.169140401,0.068,0.070
C14,high,0.00,0,2,70,30,40,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,40,0,0.779,0.944,0.983,1.133,1.596,2.103,7,7,0,0.141872733,0.033,0.054
C14,high,0.00,0,3,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0.765,0.807,0.960,1.227,1.639,2.021,6,6,0,0.161911981,0.038,0.079
C14,high,0.00,0,4,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,0,20,0,0.791,0.998,1.259,1.279,1.673,1.909,6,6,0,0.146839476,0.077,0.080
C14,high,0.00,0,5,40,30,10,0,0,0,0,0,0,0,0,0,0,0,0,40,0,30,0,10,0,0.774,0.961,NA,NA,NA,1.605,6,6,0,0.121551194,NA,NA
C14,high,0.10,0,1,60,30,30,10,0,10,0,0,0,0,0,0,0,0,0,60,10,30,0,30,10,0.951,1.002,1.351,1.698,2.144,2.144,5,5,0,0.162582892,0.070,0.116
C14,high,0.10,0,2,60,30,30,10,0,10,0,0,0,0,0,0,0,0,0,60,10,30,0,30,10,0.995,1.054,1.393,1.714,2.125,2.125,5,5,0,0.151756869,0.067,0.109
C14,high,0.10,0,3,60,30,30,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,60,0,30,0,30,0,0.743,0.923,1.083,NA,NA,NA,NA,4,1,NA,NA,NA
C14,high,0.10,0,4,70,30,40,0,0,0,0,0,0,0,0,0,NA,NA,NA,70,0,30,0,40,0,0.730,0.910,1.165,1.208,NA,NA,NA,5,1,NA,NA,NA
C14,high,0.10,0,5,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,0,20,0,0.764,1.010,1.290,NA,NA,2.384,6,6,0,0.189661207,0.087,NA
C14,high,0.10,0,6,30,0,30,70,30,40,0,0,0,0,0,0,0,0,0,70,70,30,30,40,40,0.736,0.745,0.893,NA,NA,1.961,6,6,0,0.163329951,0.032,NA
C14,high,0.25,0,1,80,50,30,60,30,30,40,30,10,0,0,0,0,0,0,80,60,50,30,30,30,0.972,1.024,1.055,1.299,2.071,2.193,6,6,0,0.135611657,0.014,0.048
C14,high,0.25,0,2,90,50,40,50,30,20,10,0,10,10,0,10,0,0,0,90,50,50,30,40,20,0.930,0.983,1.293,1.291,1.998,2.155,6,6,0,0.140060236,0.055,0.055
C14,high,0.25,0,3,80,50,30,80,0,80,90,50,40,30,30,,0,0,0,90,90,50,50,80,80,0.983,1.047,1.073,1.302,2.066,2.117,7,7,0,0.109592307,0.013,0.040
C14,high,0.25,0,4,80,50,30,50,30,20,50,30,20,0,0,0,0,0,0,80,50,50,30,30,20,0.969,1.035,1.082,1.328,2.056,2.168,6,6,0,0.134215958,0.018,0.053
C14,high,0.25,0,5,80,0,80,60,0,60,40,0,40,0,0,0,0,0,0,80,60,0,0,80,60,0.982,1.257,NA,NA,NA,2.349,6,6,0,0.145358946,NA,NA
C14,high,0.50,0,1,90,50,40,60,30,30,50,30,20,0,0,0,0,0,0,90,60,50,30,40,30,0.970,0.988,1.289,1.603,2.077,2.077,6,6,0,0.126897292,0.047,0.084
C14,high,0.50,0,2,80,50,30,80,50,30,50,30,20,0,0,0,0,0,0,80,80,50,50,30,30,0.949,0.988,1.227,1.573,1.919,2.203,8,8,0,0.105270819,0.032,0.063
C14,high,0.50,0,3,90,50,40,20,0,20,20,0,20,0,0,0,0,0,0,90,20,50,0,40,20,1.006,1.018,1.334,1.661,2.042,2.042,6,6,0,0.117991275,0.047,0.084
C14,high,0.50,0,4,90,50,40,50,30,20,40,30,10,0,0,0,0,0,0,90,50,50,30,40,20,1.007,1.017,1.326,1.646,2.077,2.077,6,6,0,0.120658155,0.046,0.082
C14,high,0.00,5,1,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,0,20,0,0.777,0.967,0.983,1.204,1.633,2.031,7,7,0,0.137263316,0.034,0.063
C14,high,0.00,5,2,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,60,0,30,0,30,0,0.776,0.970,0.978,1.149,1.454,2.241,8,8,0,0.132565619,0.029,0.049
C14,high,0.00,5,3,60,30,30,70,30,40,0,0,0,0,0,0,0,0,0,70,70,30,30,40,40,0.777,0.780,0.915,1.218,1.548,2.114,8,8,0,0.125112102,0.020,0.056
C14,high,0.00,5,4,40,30,10,50,30,20,0,0,0,0,0,0,0,0,0,50,50,30,30,20,20,0.768,0.770,0.907,1.159,1.503,2.120,7,7,0,0.145054519,0.024,0.059
C14,high,0.00,5,5,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,0,20,0,0.726,0.982,1.073,1.273,NA,2.112,6,6,0,0.177973438,0.065,0.094
C14,high,0.10,5,1,60,30,30,70,30,40,30,30,0,0,0,0,0,0,0,70,70,30,30,40,40,0.991,1.030,1.356,1.686,1.714,2.215,7,7,0,0.114899021,0.045,0.076
C14,high,0.10,5,2,70,30,40,60,30,30,0,0,0,0,0,0,0,0,0,70,60,30,30,40,30,0.986,1.022,1.360,1.560,1.876,2.279,8,8,0,0.104729459,0.040,0.057
C14,high,0.10,5,3,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,0,20,0,0.782,0.935,1.257,1.534,1.989,2.253,7,7,0,0.151166171,0.068,0.096
C14,high,0.10,5,4,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,60,0,30,0,30,0,0.774,0.836,1.128,1.454,1.869,2.215,7,7,0,0.150205116,0.054,0.090
C14,high,0.10,5,5,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,60,0,30,0,30,0,0.691,0.908,1.171,NA,NA,2.081,6,6,0,0.183744,0.088,NA
C14,high,0.25,5,1,60,30,30,30,0,30,30,0,30,0,0,0,0,0,0,60,30,30,0,30,30,0.992,1.010,1.317,1.682,2.074,2.074,6,6,0,0.122918547,0.047,0.088
C14,high,0.25,5,2,90,50,40,30,0,30,0,0,0,0,0,0,0,0,0,90,30,50,0,40,30,0.967,1.049,1.333,1.645,2.060,2.060,6,6,0,0.126043794,0.053,0.089
C14,high,0.25,5,3,70,30,40,0,0,0,0,0,0,0,0,0,0,0,0,70,0,30,0,40,0,0.986,0.996,1.215,1.569,1.997,2.258,7,7,0,0.118368341,0.030,0.066
C14,high,0.25,5,4,50,30,20,0,0,0,0,0,0,0,0,0,0,0,0,50,0,30,0,20,0,0.997,1.003,1.244,1.614,1.640,1.911,6,6,0,0.108438529,0.037,0.080
C14,high,0.25,5,5,50,30,20,20,0,20,0,0,0,0,0,0,0,0,0,50,20,30,0,20,20,0.766,0.974,1.282,NA,NA,2.248,6,6,0,0.179435674,0.086,NA
C14,high,0.50,5,1,80,50,30,20,0,20,10,0,10,0,0,0,0,0,0,80,20,50,0,30,20,1.025,1.030,1.274,1.648,2.010,2.010,6,6,0,0.112240352,0.036,0.079
C14,high,0.50,5,2,70,30,40,50,30,20,0,0,0,0,0,0,0,0,0,70,50,30,30,40,20,1.011,1.019,1.258,1.665,2.044,2.044,6,6,0,0.117328122,0.036,0.083
C14,high,0.50,5,3,80,50,30,20,0,20,0,0,0,0,0,0,0,0,0,80,20,50,0,30,20,0.996,0.999,1.284,1.636,1.973,1.973,6,6,0,0.113927208,0.042,0.083
C14,high,0.50,5,4,70,30,40,20,0,20,0,0,0,0,0,0,0,0,0,70,20,30,0,40,20,1.014,1.018,1.263,1.649,2.009,2.099,7,7,0,0.103936877,0.031,0.069
